Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'd', Vowel: 'uo', Final: ''
Key 'o' appended. Init: '', Vowel: 'o', Final: ''
Key 'o' appended. Init: '', Vowel: 'o', Final: ''
Key 'n' appended. Init: '', Vowel: 'o', Final: 'n'
Key 'o' appended. Init: '', Vowel: 'o', Final: ''
Key 'n' appended. Init: '', Vowel: 'o', Final: 'n'
Key 'g' appended. Init: '', Vowel: 'o', Final: 'ng'
Key 'o' appended. Init: '', Vowel: 'o', Final: ''
Key 'n' appended. Init: '', Vowel: 'o', Final: 'n'
Key 'g' appended. Init: '', Vowel: 'o', Final: 'ng'
Key 'w' modified. Init: '', Vowel: 'ơ', Final: 'ng'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'd', Vowel: 'uo', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'd', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'd', Vowel: 'uo', Final: 'n'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'd', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'd', Vowel: 'uo', Final: 'n'
Key 'g' appended. Init: 'd', Vowel: 'uo', Final: 'ng'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'd', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'd', Vowel: 'uo', Final: 'n'
Key 'g' appended. Init: 'd', Vowel: 'uo', Final: 'ng'
Key 'w' modified. Init: 'd', Vowel: 'ươ', Final: 'ng'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'đ', Vowel: 'uo', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'đ', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'đ', Vowel: 'uo', Final: 'n'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'đ', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'đ', Vowel: 'uo', Final: 'n'
Key 'g' appended. Init: 'đ', Vowel: 'uo', Final: 'ng'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'đ', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'đ', Vowel: 'uo', Final: 'n'
Key 'g' appended. Init: 'đ', Vowel: 'uo', Final: 'ng'
Key 'w' modified. Init: 'đ', Vowel: 'ươ', Final: 'ng'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'd', Vowel: 'uo', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'd', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'd', Vowel: 'uo', Final: 'n'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'd', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'd', Vowel: 'uo', Final: 'n'
Key 'g' appended. Init: 'd', Vowel: 'uo', Final: 'ng'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'u' appended. Init: 'd', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'd', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'd', Vowel: 'uo', Final: 'n'
Key 'g' appended. Init: 'd', Vowel: 'uo', Final: 'ng'
Key 'w' modified. Init: 'd', Vowel: 'ươ', Final: 'ng'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'đ', Vowel: 'uo', Final: ''
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'đ', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'đ', Vowel: 'uo', Final: 'n'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'đ', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'đ', Vowel: 'uo', Final: 'n'
Key 'g' appended. Init: 'đ', Vowel: 'uo', Final: 'ng'
Key 'd' appended. Init: 'd', Vowel: '', Final: ''
Key 'd' modified. Init: 'đ', Vowel: '', Final: ''
Key 'u' appended. Init: 'đ', Vowel: 'u', Final: ''
Key 'o' appended. Init: 'đ', Vowel: 'uo', Final: ''
Key 'n' appended. Init: 'đ', Vowel: 'uo', Final: 'n'
Key 'g' appended. Init: 'đ', Vowel: 'uo', Final: 'ng'
Key 'w' modified. Init: 'đ', Vowel: 'ươ', Final: 'ng'
